Bacteria	Comparison	p value	mean.diff	FDR
s__Allisonella_histaminiformans	<= 35 vs > 35	3,07E-05	3,19E-01	6,28E-04
s__Mageeibacillus_indolicus	<= 40 vs > 40	3,26E-05	3,78E-01	6,30E-04
s__Tissierellia_bacterium	<= 40 vs > 40	3,26E-05	3,48E-01	6,30E-04
s__Tissierellia_bacterium	<= 42 vs > 42	3,24E-05	3,88E-01	6,30E-04
s__Mageeibacillus_indolicus	<= 43 vs > 43	3,89E-05	4,43E-01	7,37E-04
s__Mageeibacillus_indolicus	<= 44 vs > 44	4,74E-05	4,65E-01	8,81E-04
s__Prevotella_amnii	<= 47 vs > 47	4,98E-05	6,76E-01	9,09E-04
s__Coriobacteriales_bacterium	<= 41 vs > 41	5,79E-05	3,79E-01	1,04E-03
s__Tissierellia_bacterium	<= 41 vs > 41	5,91E-05	3,54E-01	1,04E-03
s__Coriobacteriales_bacterium	<= 46 vs > 46	6,31E-05	5,40E-01	1,08E-03
s__Mageeibacillus_indolicus	<= 45 vs > 45	6,26E-05	4,96E-01	1,08E-03
s__Gardnerella_vaginalis	<= 50 vs > 50	6,61E-05	7,75E-01	1,09E-03
s__Ureaplasma_parvum	<= 43 vs > 43	6,62E-05	3,73E-01	1,09E-03
s__Lactobacillus_jensenii	<= 44 vs > 44	6,97E-05	-4,00E-01	1,11E-03
s__Allisonella_histaminiformans	<= 37 vs > 37	6,93E-05	3,11E-01	1,11E-03
s__Ureaplasma_parvum	<= 36 vs > 36	7,79E-05	2,90E-01	1,23E-03
s__Prevotella_timonensis	<= 47 vs > 47	8,18E-05	6,06E-01	1,25E-03
s__Sneathia_amnii	<= 43 vs > 43	8,12E-05	4,49E-01	1,25E-03
s__Gardnerella_vaginalis	<= 46 vs > 46	9,07E-05	3,09E-01	1,36E-03
s__Lactobacillus_jensenii	<= 43 vs > 43	1,07E-04	-3,63E-01	1,59E-03
s__Mageeibacillus_indolicus	<= 38 vs > 38	1,14E-04	3,26E-01	1,67E-03
s__Prevotella_timonensis	<= 40 vs > 40	1,18E-04	3,48E-01	1,70E-03
s__Prevotella_timonensis	<= 50 vs > 50	1,24E-04	1,48E+00	1,76E-03
s__Mageeibacillus_indolicus	<= 41 vs > 41	1,26E-04	3,66E-01	1,76E-03
s__Coriobacteriales_bacterium	<= 42 vs > 42	1,30E-04	3,81E-01	1,79E-03
s__Megasphaera_lornae	<= 46 vs > 46	1,43E-04	5,38E-01	1,95E-03
s__Mageeibacillus_indolicus	<= 36 vs > 36	1,54E-04	3,11E-01	2,08E-03
s__Tissierellia_bacterium	<= 46 vs > 46	1,62E-04	4,92E-01	2,15E-03
s__Dialister_micraerophilus	<= 42 vs > 42	1,78E-04	3,60E-01	2,33E-03
s__Mageeibacillus_indolicus	<= 42 vs > 42	1,80E-04	3,78E-01	2,33E-03
s__Lactobacillus_crispatus	<= 47 vs > 47	1,98E-04	-3,05E-01	2,53E-03
s__Lactobacillus_gasseri	<= 43 vs > 43	2,00E-04	-4,11E-01	2,53E-03
s__Tissierellia_bacterium	<= 34 vs > 34	2,12E-04	2,78E-01	2,65E-03
s__Dialister_micraerophilus	<= 43 vs > 43	2,19E-04	3,78E-01	2,70E-03
s__Dialister_micraerophilus	<= 45 vs > 45	2,31E-04	4,35E-01	2,81E-03
s__Ureaplasma_parvum	<= 33 vs > 33	2,49E-04	2,80E-01	3,00E-03
s__Tissierellia_bacterium	<= 38 vs > 38	2,55E-04	2,83E-01	3,03E-03
s__Dialister_micraerophilus	<= 44 vs > 44	2,73E-04	3,97E-01	3,20E-03
s__Gardnerella_vaginalis	<= 44 vs > 44	2,76E-04	2,39E-01	3,21E-03
s__Prevotella_timonensis	<= 48 vs > 48	2,84E-04	6,76E-01	3,25E-03
s__Tissierellia_bacterium	<= 37 vs > 37	2,86E-04	2,75E-01	3,25E-03
s__Mageeibacillus_indolicus	<= 39 vs > 39	3,02E-04	3,16E-01	3,39E-03
s__Gardnerella_vaginalis	<= 42 vs > 42	3,14E-04	2,10E-01	3,49E-03
s__Lactobacillus_crispatus	<= 40 vs > 40	3,20E-04	-1,67E-01	3,52E-03
s__Mageeibacillus_indolicus	<= 46 vs > 46	3,27E-04	4,95E-01	3,56E-03
s__Mageeibacillus_indolicus	<= 26 vs > 26	3,35E-04	4,81E-01	3,60E-03
s__Prevotella_colorans	<= 35 vs > 35	3,59E-04	2,10E-01	3,79E-03
s__Ureaplasma_parvum	<= 42 vs > 42	3,60E-04	3,13E-01	3,79E-03
s__Ureaplasma_parvum	<= 37 vs > 37	3,72E-04	2,63E-01	3,89E-03
s__Coriobacteriales_bacterium	<= 39 vs > 39	3,94E-04	3,05E-01	4,04E-03
s__Tissierellia_bacterium	<= 36 vs > 36	3,95E-04	2,65E-01	4,04E-03
s__Coriobacteriales_bacterium	<= 36 vs > 36	4,02E-04	2,85E-01	4,05E-03
s__Mageeibacillus_indolicus	<= 27 vs > 27	4,03E-04	4,30E-01	4,05E-03
s__Sneathia_amnii	<= 45 vs > 45	4,11E-04	4,63E-01	4,08E-03
s__Prevotella_timonensis	<= 39 vs > 39	4,17E-04	3,07E-01	4,10E-03
s__Coriobacteriales_bacterium	<= 37 vs > 37	4,31E-04	2,87E-01	4,20E-03
s__Ureaplasma_parvum	<= 40 vs > 40	4,47E-04	2,80E-01	4,31E-03
s__Lactobacillus_jensenii	<= 42 vs > 42	4,57E-04	-3,03E-01	4,37E-03
s__Sneathia_sanguinegens	<= 46 vs > 46	4,86E-04	5,12E-01	4,60E-03
s__Ureaplasma_parvum	<= 41 vs > 41	4,91E-04	2,91E-01	4,61E-03
s__Megasphaera_lornae	<= 43 vs > 43	5,10E-04	3,89E-01	4,67E-03
s__Sneathia_sanguinegens	<= 40 vs > 40	5,11E-04	3,33E-01	4,67E-03
s__Ureaplasma_parvum	<= 32 vs > 32	5,11E-04	2,74E-01	4,67E-03
s__Ureaplasma_parvum	<= 44 vs > 44	5,57E-04	3,43E-01	5,05E-03
s__Ureaplasma_parvum	<= 39 vs > 39	5,79E-04	2,65E-01	5,19E-03
s__Lactobacillus_crispatus	<= 48 vs > 48	5,88E-04	-3,21E-01	5,23E-03
g__Shuttleworthia	<= 48 vs > 48	5,99E-04	5,26E-01	5,29E-03
s__Prevotella_colorans	<= 34 vs > 34	6,33E-04	2,01E-01	5,49E-03
s__Ureaplasma_parvum	<= 38 vs > 38	6,32E-04	2,56E-01	5,49E-03
s__Bifidobacterium_breve	<= 20 vs > 20	6,52E-04	7,82E-01	5,56E-03
s__Prevotella_amnii	<= 42 vs > 42	6,47E-04	3,69E-01	5,56E-03
s__Atopobium_vaginae	<= 48 vs > 48	6,67E-04	4,09E-01	5,64E-03
s__Megasphaera_hutchinsoni	<= 43 vs > 43	7,08E-04	3,46E-01	5,94E-03
s__Atopobium_vaginae	<= 49 vs > 49	7,61E-04	5,61E-01	6,28E-03
s__Sneathia_sanguinegens	<= 45 vs > 45	7,58E-04	4,42E-01	6,28E-03
s__Gardnerella_vaginalis	<= 41 vs > 41	8,00E-04	1,86E-01	6,50E-03
g__Shuttleworthia	<= 49 vs > 49	7,97E-04	7,65E-01	6,50E-03
s__Lactobacillus_gasseri	<= 41 vs > 41	8,25E-04	-3,24E-01	6,64E-03
s__Gardnerella_vaginalis	<= 45 vs > 45	8,34E-04	2,40E-01	6,66E-03
s__Atopobium_vaginae	<= 51 vs > 51	9,29E-04	1,01E+00	7,37E-03
s__Sneathia_amnii	<= 44 vs > 44	9,54E-04	4,01E-01	7,50E-03
s__Gardnerella_vaginalis	<= 43 vs > 43	9,79E-04	2,05E-01	7,59E-03
s__Prevotella_timonensis	<= 34 vs > 34	9,74E-04	2,72E-01	7,59E-03
s__Megasphaera_lornae	<= 48 vs > 48	9,98E-04	6,48E-01	7,67E-03
s__Lactobacillus_gasseri	<= 44 vs > 44	1,04E-03	-3,83E-01	7,91E-03
s__Prevotella_colorans	<= 37 vs > 37	1,07E-03	1,98E-01	8,11E-03
s__Prevotella_timonensis	<= 38 vs > 38	1,13E-03	2,74E-01	8,47E-03
s__Lactobacillus_gasseri	<= 47 vs > 47	1,14E-03	-5,21E-01	8,48E-03
s__Prevotella_bivia	<= 21 vs > 21	1,17E-03	-7,01E-01	8,57E-03
s__Lactobacillus_gasseri	<= 42 vs > 42	1,16E-03	-3,34E-01	8,57E-03
s__Lactobacillus_jensenii	<= 46 vs > 46	1,18E-03	-3,83E-01	8,57E-03
s__Megasphaera_hutchinsoni	<= 44 vs > 44	1,18E-03	3,53E-01	8,57E-03
s__Aerococcus_christensenii	<= 22 vs > 22	1,20E-03	-7,22E-01	8,66E-03
s__Lactobacillus_jensenii	<= 41 vs > 41	1,23E-03	-2,64E-01	8,80E-03
s__Prevotella_amnii	<= 41 vs > 41	1,24E-03	3,32E-01	8,81E-03
s__Sneathia_amnii	<= 41 vs > 41	1,29E-03	3,23E-01	9,07E-03
s__Sneathia_sanguinegens	<= 41 vs > 41	1,29E-03	3,25E-01	9,07E-03
s__Megasphaera_lornae	<= 41 vs > 41	1,31E-03	3,19E-01	9,08E-03
s__Coriobacteriales_bacterium	<= 34 vs > 34	1,40E-03	2,58E-01	9,19E-03
s__Prevotella_colorans	<= 36 vs > 36	1,40E-03	1,90E-01	9,19E-03
s__Prevotella_timonensis	<= 37 vs > 37	1,39E-03	2,64E-01	9,19E-03
s__Mageeibacillus_indolicus	<= 24 vs > 24	1,38E-03	5,43E-01	9,19E-03
s__Mageeibacillus_indolicus	<= 28 vs > 28	1,39E-03	3,55E-01	9,19E-03
g__Shuttleworthia	<= 43 vs > 43	1,41E-03	2,39E-01	9,19E-03
g__Shuttleworthia	<= 45 vs > 45	1,41E-03	2,84E-01	9,19E-03
s__Megasphaera_lornae	<= 38 vs > 38	1,35E-03	2,82E-01	9,19E-03
s__Sneathia_sanguinegens	<= 39 vs > 39	1,36E-03	2,95E-01	9,19E-03
s__Sneathia_sanguinegens	<= 43 vs > 43	1,40E-03	3,64E-01	9,19E-03
s__Sneathia_amnii	<= 40 vs > 40	1,43E-03	3,04E-01	9,25E-03
s__Prevotella_colorans	<= 38 vs > 38	1,59E-03	1,96E-01	1,01E-02
s__Mageeibacillus_indolicus	<= 35 vs > 35	1,58E-03	2,59E-01	1,01E-02
s__Megasphaera_lornae	<= 47 vs > 47	1,57E-03	5,13E-01	1,01E-02
s__Prevotella_amnii	<= 40 vs > 40	1,62E-03	3,08E-01	1,02E-02
s__Gardnerella_vaginalis	<= 40 vs > 40	1,73E-03	1,67E-01	1,07E-02
s__Gardnerella_vaginalis	<= 47 vs > 47	1,73E-03	2,91E-01	1,07E-02
s__Coriobacteriales_bacterium	<= 38 vs > 38	1,71E-03	2,61E-01	1,07E-02
s__Sneathia_amnii	<= 42 vs > 42	1,79E-03	3,34E-01	1,10E-02
s__Atopobium_vaginae	<= 42 vs > 42	1,97E-03	2,07E-01	1,21E-02
s__Prevotella_colorans	<= 29 vs > 29	2,04E-03	2,14E-01	1,24E-02
s__Prevotella_timonensis	<= 35 vs > 35	2,16E-03	2,51E-01	1,31E-02
s__Lactobacillus_gasseri	<= 37 vs > 37	2,21E-03	-2,60E-01	1,33E-02
s__Prevotella_timonensis	<= 36 vs > 36	2,25E-03	2,50E-01	1,35E-02
s__Gardnerella_vaginalis	<= 49 vs > 49	2,29E-03	4,37E-01	1,36E-02
s__Lactobacillus_gasseri	<= 40 vs > 40	2,28E-03	-2,82E-01	1,36E-02
s__Prevotella_colorans	<= 30 vs > 30	2,38E-03	1,99E-01	1,40E-02
s__Prevotella_amnii	<= 39 vs > 39	2,59E-03	2,83E-01	1,51E-02
s__Atopobium_vaginae	<= 43 vs > 43	2,76E-03	2,17E-01	1,57E-02
s__Atopobium_vaginae	<= 44 vs > 44	2,75E-03	2,30E-01	1,57E-02
s__Coriobacteriales_bacterium	<= 47 vs > 47	2,75E-03	4,60E-01	1,57E-02
s__Lactobacillus_jensenii	<= 40 vs > 40	2,73E-03	-2,32E-01	1,57E-02
g__Shuttleworthia	<= 42 vs > 42	2,75E-03	2,08E-01	1,57E-02
g__Shuttleworthia	<= 44 vs > 44	2,79E-03	2,39E-01	1,58E-02
s__Megasphaera_lornae	<= 27 vs > 27	2,85E-03	3,82E-01	1,60E-02
s__Sneathia_sanguinegens	<= 42 vs > 42	2,90E-03	3,18E-01	1,62E-02
s__Coriobacteriales_bacterium	<= 35 vs > 35	3,02E-03	2,38E-01	1,68E-02
s__Allisonella_histaminiformans	<= 33 vs > 33	3,10E-03	2,31E-01	1,71E-02
s__Sneathia_amnii	<= 46 vs > 46	3,11E-03	4,35E-01	1,71E-02
s__Megasphaera_hutchinsoni	<= 45 vs > 45	3,13E-03	3,49E-01	1,71E-02
s__Prevotella_colorans	<= 39 vs > 39	3,16E-03	1,90E-01	1,72E-02
s__Prevotella_timonensis	<= 51 vs > 51	3,33E-03	1,65E+00	1,80E-02
s__Mageeibacillus_indolicus	<= 25 vs > 25	3,40E-03	4,40E-01	1,83E-02
s__Sneathia_sanguinegens	<= 44 vs > 44	3,46E-03	3,55E-01	1,85E-02
s__Prevotella_amnii	<= 48 vs > 48	3,68E-03	5,76E-01	1,96E-02
s__Sneathia_amnii	<= 49 vs > 49	3,70E-03	7,90E-01	1,96E-02
s__Ureaplasma_parvum	<= 46 vs > 46	3,73E-03	3,45E-01	1,97E-02
s__Ureaplasma_parvum	<= 31 vs > 31	3,77E-03	2,39E-01	1,98E-02
s__Prevotella_colorans	<= 28 vs > 28	3,79E-03	2,15E-01	1,98E-02
s__Atopobium_vaginae	<= 24 vs > 24	3,86E-03	3,92E-01	1,99E-02
s__Megasphaera_lornae	<= 34 vs > 34	3,85E-03	2,50E-01	1,99E-02
s__Bifidobacterium_breve	<= 49 vs > 49	3,91E-03	-5,01E-01	2,01E-02
s__Ureaplasma_parvum	<= 45 vs > 45	4,04E-03	3,08E-01	2,07E-02
s__Prevotella_colorans	<= 46 vs > 46	4,10E-03	3,13E-01	2,08E-02
s__Bifidobacterium_breve	<= 44 vs > 44	4,14E-03	-2,45E-01	2,10E-02
s__Megasphaera_lornae	<= 37 vs > 37	4,18E-03	2,48E-01	2,11E-02
s__Tissierellia_bacterium	<= 35 vs > 35	4,20E-03	2,14E-01	2,11E-02
s__Prevotella_bivia	<= 20 vs > 20	4,30E-03	-7,54E-01	2,14E-02
s__Dialister_micraerophilus	<= 47 vs > 47	4,32E-03	4,34E-01	2,15E-02
s__Lactobacillus_gasseri	<= 45 vs > 45	4,36E-03	-3,57E-01	2,16E-02
s__Atopobium_vaginae	<= 46 vs > 46	4,45E-03	2,57E-01	2,19E-02
s__Lactobacillus_gasseri	<= 38 vs > 38	4,51E-03	-2,45E-01	2,21E-02
s__Dialister_micraerophilus	<= 41 vs > 41	4,55E-03	2,57E-01	2,22E-02
g__Shuttleworthia	<= 40 vs > 40	4,71E-03	1,74E-01	2,27E-02
s__Tissierellia_bacterium	<= 33 vs > 33	4,70E-03	2,16E-01	2,27E-02
s__Bifidobacterium_breve	<= 48 vs > 48	4,74E-03	-3,86E-01	2,28E-02
s__Megasphaera_lornae	<= 40 vs > 40	4,91E-03	2,67E-01	2,35E-02
s__Prevotella_colorans	<= 45 vs > 45	4,94E-03	2,70E-01	2,35E-02
s__Lactobacillus_gasseri	<= 36 vs > 36	4,98E-03	-2,37E-01	2,36E-02
s__Megasphaera_lornae	<= 36 vs > 36	5,02E-03	2,41E-01	2,37E-02
s__Lactobacillus_jensenii	<= 47 vs > 47	5,08E-03	-3,81E-01	2,38E-02
s__Atopobium_vaginae	<= 45 vs > 45	5,26E-03	2,29E-01	2,44E-02
s__Megasphaera_hutchinsoni	<= 40 vs > 40	5,25E-03	2,37E-01	2,44E-02
s__Lactobacillus_crispatus	<= 39 vs > 39	5,32E-03	-1,24E-01	2,46E-02
s__Streptococcus_anginosus	<= 20 vs > 20	5,35E-03	5,34E-01	2,46E-02
s__Atopobium_vaginae	<= 40 vs > 40	5,39E-03	1,69E-01	2,47E-02
s__Lactobacillus_gasseri	<= 48 vs > 48	5,54E-03	-5,45E-01	2,53E-02
s__Lactobacillus_gasseri	<= 46 vs > 46	5,62E-03	-3,88E-01	2,56E-02
g__Shuttleworthia	<= 50 vs > 50	5,86E-03	1,01E+00	2,65E-02
s__Bifidobacterium_breve	<= 45 vs > 45	5,89E-03	-2,54E-01	2,65E-02
s__Gardnerella_vaginalis	<= 51 vs > 51	6,07E-03	7,08E-01	2,72E-02
s__Lactobacillus_jensenii	<= 39 vs > 39	6,31E-03	-2,02E-01	2,82E-02
s__Aerococcus_christensenii	<= 46 vs > 46	6,85E-03	3,29E-01	3,05E-02
s__Atopobium_vaginae	<= 52 vs > 52	6,92E-03	1,03E+00	3,05E-02
s__Megasphaera_hutchinsoni	<= 42 vs > 42	6,92E-03	2,57E-01	3,05E-02
s__Dialister_micraerophilus	<= 48 vs > 48	7,12E-03	4,98E-01	3,13E-02
s__Bifidobacterium_breve	<= 46 vs > 46	7,46E-03	-2,72E-01	3,26E-02
s__Tissierellia_bacterium	<= 48 vs > 48	7,49E-03	4,92E-01	3,26E-02
s__Megasphaera_lornae	<= 39 vs > 39	7,59E-03	2,43E-01	3,29E-02
s__Coriobacteriales_bacterium	<= 48 vs > 48	7,70E-03	5,03E-01	3,30E-02
s__Megasphaera_lornae	<= 35 vs > 35	7,66E-03	2,28E-01	3,30E-02
s__Ureaplasma_parvum	<= 50 vs > 50	7,71E-03	9,90E-01	3,30E-02
s__Prevotella_amnii	<= 49 vs > 49	7,79E-03	7,09E-01	3,32E-02
s__Aerococcus_christensenii	<= 50 vs > 50	8,02E-03	1,02E+00	3,40E-02
s__Megasphaera_lornae	<= 49 vs > 49	8,43E-03	6,88E-01	3,56E-02
s__Atopobium_vaginae	<= 39 vs > 39	8,73E-03	1,52E-01	3,63E-02
s__Lactobacillus_gasseri	<= 39 vs > 39	8,71E-03	-2,33E-01	3,63E-02
s__Lactobacillus_iners	<= 21 vs > 21	8,70E-03	-3,36E-01	3,63E-02
s__Megasphaera_hutchinsoni	<= 49 vs > 49	8,70E-03	6,72E-01	3,63E-02
s__Tissierellia_bacterium	<= 47 vs > 47	8,89E-03	3,89E-01	3,68E-02
g__Shuttleworthia	<= 41 vs > 41	8,93E-03	1,69E-01	3,68E-02
s__Atopobium_vaginae	<= 47 vs > 47	9,03E-03	2,73E-01	3,71E-02
g__Shuttleworthia	<= 47 vs > 47	9,31E-03	3,02E-01	3,79E-02
s__Sneathia_amnii	<= 48 vs > 48	9,30E-03	5,29E-01	3,79E-02
s__Prevotella_bivia	<= 29 vs > 29	9,42E-03	-2,55E-01	3,82E-02
s__Mageeibacillus_indolicus	<= 34 vs > 34	9,52E-03	2,14E-01	3,85E-02
s__Lactobacillus_crispatus	<= 24 vs > 24	9,74E-03	-2,32E-01	3,90E-02
s__Lactobacillus_gasseri	<= 35 vs > 35	9,68E-03	-2,19E-01	3,90E-02
s__Megasphaera_hutchinsoni	<= 41 vs > 41	9,76E-03	2,31E-01	3,90E-02
s__Mageeibacillus_indolicus	<= 23 vs > 23	1,01E-02	5,27E-01	4,02E-02
s__Anaerococcus_tetradius	<= 43 vs > 43	1,02E-02	2,28E-01	4,03E-02
s__Aerococcus_christensenii	<= 21 vs > 21	1,11E-02	-6,66E-01	4,39E-02
s__Mageeibacillus_indolicus	<= 30 vs > 30	1,11E-02	2,43E-01	4,39E-02
s__Tissierellia_bacterium	<= 32 vs > 32	1,12E-02	1,99E-01	4,40E-02
s__Lactobacillus_crispatus	<= 25 vs > 25	1,13E-02	-2,00E-01	4,42E-02
s__Megasphaera_lornae	<= 42 vs > 42	1,15E-02	2,66E-01	4,48E-02
s__Bifidobacterium_breve	<= 43 vs > 43	1,16E-02	-2,06E-01	4,50E-02
s__Atopobium_vaginae	<= 41 vs > 41	1,17E-02	1,61E-01	4,52E-02
s__Mageeibacillus_indolicus	<= 29 vs > 29	1,21E-02	2,59E-01	4,66E-02
s__Mageeibacillus_indolicus	<= 33 vs > 33	1,22E-02	2,10E-01	4,66E-02
s__Aerococcus_christensenii	<= 49 vs > 49	1,23E-02	5,97E-01	4,70E-02
s__Megasphaera_hutchinsoni	<= 39 vs > 39	1,26E-02	2,03E-01	4,79E-02
s__Prevotella_colorans	<= 41 vs > 41	1,27E-02	1,77E-01	4,81E-02
g__Shuttleworthia	<= 46 vs > 46	1,28E-02	2,45E-01	4,84E-02
s__Tissierellia_bacterium	<= 24 vs > 24	1,29E-02	3,82E-01	4,85E-02
s__Gardnerella_vaginalis	<= 39 vs > 39	1,30E-02	1,28E-01	4,89E-02
s__Tissierellia_bacterium	<= 30 vs > 30	1,39E-02	2,14E-01	5,21E-02
s__Prevotella_colorans	<= 40 vs > 40	1,46E-02	1,65E-01	5,44E-02
s__Prevotella_colorans	<= 33 vs > 33	1,52E-02	1,45E-01	5,63E-02
s__Coriobacteriales_bacterium	<= 49 vs > 49	1,53E-02	6,23E-01	5,64E-02
s__Aerococcus_christensenii	<= 44 vs > 44	1,54E-02	2,53E-01	5,64E-02
s__Tissierellia_bacterium	<= 26 vs > 26	1,54E-02	2,94E-01	5,64E-02
s__Bifidobacterium_breve	<= 50 vs > 50	1,56E-02	-6,21E-01	5,67E-02
s__Lactobacillus_crispatus	<= 28 vs > 28	1,56E-02	-1,38E-01	5,67E-02
s__Coriobacteriales_bacterium	<= 27 vs > 27	1,58E-02	2,85E-01	5,73E-02
s__Sneathia_sanguinegens	<= 34 vs > 34	1,60E-02	2,09E-01	5,79E-02
s__Atopobium_vaginae	<= 25 vs > 25	1,62E-02	2,78E-01	5,82E-02
s__Dialister_micraerophilus	<= 49 vs > 49	1,62E-02	6,08E-01	5,82E-02
s__Tissierellia_bacterium	<= 25 vs > 25	1,64E-02	3,24E-01	5,85E-02
s__Tissierellia_bacterium	<= 27 vs > 27	1,64E-02	2,61E-01	5,85E-02
s__Tissierellia_bacterium	<= 28 vs > 28	1,67E-02	2,40E-01	5,95E-02
s__Lactobacillus_gasseri	<= 34 vs > 34	1,69E-02	-2,05E-01	5,99E-02
s__Megasphaera_lornae	<= 30 vs > 30	1,73E-02	2,40E-01	6,06E-02
s__Veillonella_montpellierensis	<= 37 vs > 37	1,73E-02	1,49E-01	6,06E-02
s__Sneathia_amnii	<= 39 vs > 39	1,73E-02	2,18E-01	6,06E-02
s__Megasphaera_lornae	<= 26 vs > 26	1,74E-02	3,34E-01	6,07E-02
s__Aerococcus_christensenii	<= 43 vs > 43	1,77E-02	2,33E-01	6,17E-02
s__Anaerococcus_tetradius	<= 42 vs > 42	1,78E-02	1,96E-01	6,17E-02
s__Megasphaera_hutchinsoni	<= 32 vs > 32	1,91E-02	1,86E-01	6,60E-02
s__Prevotella_amnii	<= 38 vs > 38	1,92E-02	2,13E-01	6,62E-02
s__Ureaplasma_parvum	<= 49 vs > 49	1,97E-02	5,52E-01	6,77E-02
s__Prevotella_bivia	<= 28 vs > 28	2,00E-02	-2,46E-01	6,84E-02
s__Mageeibacillus_indolicus	<= 48 vs > 48	2,03E-02	4,44E-01	6,90E-02
s__Fusobacterium_nucleatum	<= 51 vs > 51	2,02E-02	-4,06E-01	6,90E-02
