Bacteria	Feature	estimate	se	t	p value	N	FDR
s__Atopobium_vaginae	ALCOHOL_CAT	-1,75E-01	6,87E-02	-2,56E+00	1,06E-02	5279	1,73E-01
s__Sneathia_amnii	BIRTH_CONTROL3	-3,56E-01	1,39E-01	-2,55E+00	1,07E-02	3679	1,73E-01
s__Coriobacteriales_bacterium	EDU_CAT2	6,20E-01	2,43E-01	2,55E+00	1,07E-02	2506	1,73E-01
s__Bifidobacterium_dentium	PS_DIABETES	5,29E-01	2,08E-01	2,55E+00	1,09E-02	5297	1,73E-01
s__Gardnerella_vaginalis	BIRTH_CONTROL3	-2,25E-01	8,85E-02	-2,54E+00	1,11E-02	3679	1,74E-01
s__Gardnerella_vaginalis	SYM_PAINBLE	2,43E-01	9,60E-02	2,53E+00	1,14E-02	5305	1,76E-01
s__Megasphaera_lornae	EDU_CAT2	6,54E-01	2,61E-01	2,51E+00	1,23E-02	2506	1,86E-01
s__Streptococcus_anginosus	SMOKING_CAT	4,28E-01	1,71E-01	2,51E+00	1,22E-02	5246	1,86E-01
s__Lactobacillus_iners	GRAVITY1	1,94E-01	7,79E-02	2,50E+00	1,26E-02	1854	1,89E-01
s__Dialister_micraerophilus	BIRTH_CONTROL3	-3,23E-01	1,32E-01	-2,46E+00	1,41E-02	3679	1,91E-01
s__Bifidobacterium_dentium	EDU_CAT1	-1,59E-01	6,45E-02	-2,46E+00	1,40E-02	4412	1,91E-01
s__Bifidobacterium_dentium	EDU_CAT2	-4,13E-01	1,66E-01	-2,48E+00	1,32E-02	2506	1,91E-01
s__Megasphaera_hutchinsoni	EXA_CERBLE	3,95E-01	1,60E-01	2,47E+00	1,35E-02	4782	1,91E-01
s__Prevotella_colorans	INCOME1	-2,36E-01	9,53E-02	-2,47E+00	1,34E-02	2471	1,91E-01
s__Finegoldia_magna	PARITY2	-2,60E-01	1,05E-01	-2,47E+00	1,37E-02	2832	1,91E-01
s__Prevotella_bivia	SEX_PARTNER_CAT	5,80E-01	2,34E-01	2,47E+00	1,34E-02	5165	1,91E-01
s__Lactobacillus_crispatus	SMOKING_CAT	-2,92E-01	1,19E-01	-2,46E+00	1,40E-02	5246	1,91E-01
s__Prevotella_bivia	SYM_BLEDDING	3,83E-01	1,56E-01	2,46E+00	1,40E-02	5298	1,91E-01
s__Lactobacillus_iners	BIRTH_CONTROL1	2,21E-01	9,05E-02	2,44E+00	1,46E-02	1275	1,95E-01
s__Lactobacillus_crispatus	INCOME2	-1,89E-01	7,75E-02	-2,44E+00	1,47E-02	2656	1,95E-01
s__Megasphaera_hutchinsoni	EDU_CAT1	2,19E-01	9,03E-02	2,43E+00	1,52E-02	4412	1,97E-01
s__Coriobacteriales_bacterium	EXA_CERBLE	4,29E-01	1,77E-01	2,43E+00	1,51E-02	4782	1,97E-01
s__Lactobacillus_jensenii	MENSTRUAL_REGULAR	3,11E-01	1,29E-01	2,42E+00	1,55E-02	4899	1,97E-01
s__Lactobacillus_gasseri	SYM_URIOSP	-2,99E-01	1,23E-01	-2,43E+00	1,53E-02	5300	1,97E-01
g__Shuttleworthia	BIRTH_CONTROL3	-2,11E-01	8,78E-02	-2,41E+00	1,61E-02	3679	2,03E-01
s__Ureaplasma_parvum	MENSTRUAL_PHASE_REG1	2,21E-01	9,20E-02	2,41E+00	1,62E-02	3657	2,03E-01
s__Prevotella_timonensis	SMOKING_CAT	5,34E-01	2,23E-01	2,40E+00	1,64E-02	5246	2,04E-01
g__Shuttleworthia	AGE	9,66E-03	4,04E-03	2,39E+00	1,68E-02	5437	2,07E-01
s__Lactobacillus_iners	EXA_CERECT	1,52E-01	6,37E-02	2,39E+00	1,71E-02	3625	2,08E-01
s__Lactobacillus_crispatus	SYM_BLEDDING	-2,05E-01	8,62E-02	-2,38E+00	1,75E-02	5298	2,11E-01
s__Bifidobacterium_breve	ADVERSE_PREGNANCY2	3,06E-01	1,30E-01	2,35E+00	1,87E-02	3519	2,13E-01
s__Sneathia_amnii	EDU_CAT2	5,97E-01	2,52E-01	2,37E+00	1,80E-02	2506	2,13E-01
s__Dialister_micraerophilus	EDU_CAT2	5,58E-01	2,37E-01	2,35E+00	1,88E-02	2506	2,13E-01
s__Megasphaera_hutchinsoni	EXA_CERECT	3,02E-01	1,28E-01	2,37E+00	1,80E-02	3625	2,13E-01
s__Veillonella_montpellierensis	PS_HYPERTENSION	-5,25E-01	2,23E-01	-2,35E+00	1,87E-02	5296	2,13E-01
s__Megasphaera_hutchinsoni	SMOKING_CAT	4,82E-01	2,04E-01	2,36E+00	1,83E-02	5246	2,13E-01
s__Prevotella_timonensis	SYM_YYD	3,74E-01	1,59E-01	2,36E+00	1,84E-02	5198	2,13E-01
s__Streptococcus_anginosus	DRUG_GLULIP	-7,87E-01	3,37E-01	-2,34E+00	1,95E-02	4827	2,18E-01
s__Veillonella_montpellierensis	EDU_CAT1	1,82E-01	7,77E-02	2,34E+00	1,96E-02	4412	2,18E-01
s__Sneathia_sanguinegens	EDU_CAT2	5,86E-01	2,52E-01	2,33E+00	2,01E-02	2506	2,18E-01
s__Lactobacillus_iners	MENSTRUAL_PHASE_REG3	-1,06E-01	4,56E-02	-2,33E+00	1,99E-02	3657	2,18E-01
s__Prevotella_timonensis	SEX_PARTNER_CAT	5,66E-01	2,43E-01	2,33E+00	2,01E-02	5165	2,18E-01
s__Dialister_micraerophilus	SEX_PARTNER_CAT	5,47E-01	2,36E-01	2,32E+00	2,05E-02	5165	2,20E-01
s__Coriobacteriales_bacterium	SEX_PARTNER_CAT	5,65E-01	2,44E-01	2,32E+00	2,06E-02	5165	2,20E-01
s__Finegoldia_magna	EXA_CERECT	-2,12E-01	9,17E-02	-2,31E+00	2,08E-02	3625	2,20E-01
s__Lactobacillus_gasseri	ALCOHOL_CAT	-2,30E-01	1,00E-01	-2,29E+00	2,20E-02	5279	2,24E-01
s__Lactobacillus_jensenii	BIRTH_CONTROL1	-3,84E-01	1,67E-01	-2,29E+00	2,20E-02	1275	2,24E-01
s__Prevotella_colorans	BIRTH_CONTROL3	-2,16E-01	9,44E-02	-2,29E+00	2,23E-02	3679	2,24E-01
s__Prevotella_amnii	EXA_CERBLE	4,29E-01	1,88E-01	2,28E+00	2,24E-02	4782	2,24E-01
s__Allisonella_histaminiformans	GRAVITY1	-3,62E-01	1,58E-01	-2,29E+00	2,23E-02	1854	2,24E-01
s__Lactobacillus_iners	MENSTRUAL_PHASE_REG2	-2,47E-01	1,07E-01	-2,30E+00	2,15E-02	3657	2,24E-01
s__Dialister_micraerophilus	SYM_YYD	3,53E-01	1,54E-01	2,29E+00	2,18E-02	5198	2,24E-01
s__Aerococcus_christensenii	EDU_CAT1	2,06E-01	9,06E-02	2,28E+00	2,28E-02	4412	2,27E-01
f__Enterobacteriaceae	AGE	8,39E-03	3,71E-03	2,26E+00	2,39E-02	5437	2,35E-01
s__Sneathia_amnii	MENSTRUAL_REGULAR	-3,63E-01	1,61E-01	-2,26E+00	2,40E-02	4899	2,35E-01
s__Bifidobacterium_breve	EXA_VAGWAL	-3,76E-01	1,67E-01	-2,25E+00	2,48E-02	4793	2,41E-01
s__Fusobacterium_nucleatum	DRUG_ESTROGEN	5,54E-01	2,47E-01	2,24E+00	2,51E-02	4825	2,42E-01
s__Prevotella_amnii	SEX72	7,24E-01	3,25E-01	2,23E+00	2,57E-02	4976	2,46E-01
s__Atopobium_vaginae	BIRTH_CONTROL1	-2,93E-01	1,31E-01	-2,23E+00	2,60E-02	1275	2,47E-01
s__Tissierellia_bacterium	EXA_CERBLE	3,59E-01	1,62E-01	2,22E+00	2,63E-02	4782	2,48E-01
s__Dialister_micraerophilus	EXA_ORDOR	3,88E-01	1,75E-01	2,22E+00	2,65E-02	4810	2,48E-01
s__Tissierellia_bacterium	SYM_BLEDDING	3,28E-01	1,49E-01	2,21E+00	2,73E-02	5298	2,54E-01
s__Prevotella_timonensis	EXA_ORDOR	3,96E-01	1,80E-01	2,20E+00	2,75E-02	4810	2,54E-01
s__Lactobacillus_crispatus	ADVERSE_PREGNANCY2	1,97E-01	8,99E-02	2,19E+00	2,84E-02	3519	2,57E-01
s__Gardnerella_vaginalis	EDU_CAT2	3,57E-01	1,63E-01	2,19E+00	2,86E-02	2506	2,57E-01
s__Streptococcus_anginosus	ETHINIC	-3,52E-01	1,60E-01	-2,19E+00	2,84E-02	5133	2,57E-01
s__Atopobium_vaginae	ETHINIC	3,26E-01	1,49E-01	2,20E+00	2,81E-02	5133	2,57E-01
g__Shuttleworthia	ALCOHOL_CAT	1,42E-01	6,54E-02	2,18E+00	2,96E-02	5279	2,61E-01
s__Anaerococcus_tetradius	EDU_CAT1	1,77E-01	8,14E-02	2,18E+00	2,95E-02	4412	2,61E-01
s__Ureaplasma_parvum	WAISTLINE	-1,80E-02	8,25E-03	-2,18E+00	2,93E-02	1975	2,61E-01
s__Sneathia_sanguinegens	EXA_CERBLE	3,98E-01	1,83E-01	2,17E+00	2,99E-02	4782	2,62E-01
s__Veillonella_montpellierensis	EDU_CAT2	4,04E-01	1,86E-01	2,17E+00	3,03E-02	2506	2,63E-01
s__Ureaplasma_parvum	ADVERSE_PREGNANCY2	3,20E-01	1,49E-01	2,15E+00	3,16E-02	3519	2,66E-01
s__Prevotella_timonensis	ADVERSE_PREGNANCY2	3,63E-01	1,69E-01	2,15E+00	3,17E-02	3519	2,66E-01
s__Finegoldia_magna	MENSTRUAL_PHASE_REG2	-3,37E-01	1,57E-01	-2,15E+00	3,14E-02	3657	2,66E-01
s__Mageeibacillus_indolicus	SMOKING_CAT	4,79E-01	2,23E-01	2,15E+00	3,13E-02	5246	2,66E-01
s__Lactobacillus_gasseri	SYM_ITCHING	-2,22E-01	1,03E-01	-2,16E+00	3,10E-02	5347	2,66E-01
s__Prevotella_colorans	SYM_URIOSP	1,87E-01	8,72E-02	2,14E+00	3,20E-02	5300	2,67E-01
s__Anaerococcus_tetradius	SYM_PAINBLE	2,68E-01	1,25E-01	2,14E+00	3,23E-02	5305	2,68E-01
s__Anaerococcus_tetradius	EXA_VAGWAL	3,83E-01	1,80E-01	2,13E+00	3,31E-02	4793	2,73E-01
s__Gardnerella_vaginalis	EXA_VAGWAL	2,99E-01	1,41E-01	2,13E+00	3,36E-02	4793	2,74E-01
s__Sneathia_sanguinegens	MENSTRUAL_REGULAR	-3,47E-01	1,63E-01	-2,12E+00	3,37E-02	4899	2,74E-01
s__Ureaplasma_parvum	SYM_BLEDDING	3,05E-01	1,44E-01	2,12E+00	3,39E-02	5298	2,74E-01
s__Prevotella_bivia	EXA_VAGWAL	4,42E-01	2,09E-01	2,11E+00	3,48E-02	4793	2,79E-01
f__Enterobacteriaceae	ADVERSE_PREGNANCY1	-1,85E-01	8,79E-02	-2,11E+00	3,53E-02	3704	2,81E-01
s__Coriobacteriales_bacterium	EXA_ORDOR	3,81E-01	1,81E-01	2,11E+00	3,52E-02	4810	2,81E-01
f__Enterobacteriaceae	MENSTRUAL_REGULAR	2,00E-01	9,50E-02	2,10E+00	3,56E-02	4899	2,81E-01
s__Ureaplasma_parvum	BMI	2,68E-02	1,28E-02	2,10E+00	3,58E-02	5437	2,81E-01
s__Dialister_micraerophilus	EXA_VAGWAL	4,39E-01	2,11E-01	2,08E+00	3,77E-02	4793	2,94E-01
s__Lactobacillus_iners	EXA_CERBLE	1,63E-01	7,88E-02	2,06E+00	3,91E-02	4782	2,97E-01
s__Lactobacillus_crispatus	MENSTRUAL_PHASE_REG3	1,12E-01	5,44E-02	2,06E+00	3,92E-02	3657	2,97E-01
s__Tissierellia_bacterium	SMOKING_CAT	4,23E-01	2,05E-01	2,07E+00	3,85E-02	5246	2,97E-01
s__Streptococcus_anginosus	SYM_ITCHING	1,59E-01	7,71E-02	2,07E+00	3,88E-02	5347	2,97E-01
s__Bifidobacterium_dentium	WAISTLINE	-1,26E-02	6,12E-03	-2,07E+00	3,89E-02	1975	2,97E-01
f__Enterobacteriaceae	EXA_CERDIS	-2,13E-01	1,03E-01	-2,06E+00	3,96E-02	4864	2,98E-01
s__Aerococcus_christensenii	SYM_BLEDDING	3,07E-01	1,49E-01	2,05E+00	3,99E-02	5298	2,99E-01
s__Prevotella_amnii	EXA_ORDOR	3,94E-01	1,92E-01	2,05E+00	4,02E-02	4810	2,99E-01
s__Prevotella_colorans	DRUG_GLULIP	6,38E-01	3,12E-01	2,05E+00	4,05E-02	4827	3,00E-01
s__Bifidobacterium_breve	EDU_CAT2	3,90E-01	1,91E-01	2,04E+00	4,12E-02	2506	3,03E-01
s__Dialister_micraerophilus	EXA_CERDIS	3,42E-01	1,69E-01	2,03E+00	4,24E-02	4864	3,10E-01
s__Lactobacillus_crispatus	EXA_CERECT	-1,54E-01	7,62E-02	-2,03E+00	4,26E-02	3625	3,10E-01
s__Bifidobacterium_dentium	INCOME1	1,82E-01	8,98E-02	2,03E+00	4,28E-02	2471	3,10E-01
s__Sneathia_amnii	SMOKING_CAT	4,59E-01	2,28E-01	2,01E+00	4,40E-02	5246	3,16E-01
f__Enterobacteriaceae	EXA_VAGWAL	-2,58E-01	1,29E-01	-2,01E+00	4,49E-02	4793	3,20E-01
s__Sneathia_amnii	MENSTRUAL_PHASE_REG3	-2,11E-01	1,05E-01	-2,01E+00	4,50E-02	3657	3,20E-01
s__Prevotella_amnii	EDU_CAT1	2,12E-01	1,06E-01	2,00E+00	4,53E-02	4412	3,21E-01
s__Prevotella_colorans	EXA_CERBLE	2,53E-01	1,27E-01	1,99E+00	4,64E-02	4782	3,25E-01
s__Prevotella_colorans	MENSTRUAL_REGULAR	-2,23E-01	1,12E-01	-1,99E+00	4,64E-02	4899	3,25E-01
s__Megasphaera_lornae	SEX72	6,40E-01	3,23E-01	1,98E+00	4,74E-02	4976	3,30E-01
s__Ureaplasma_parvum	ALCOHOL_CAT	1,72E-01	8,74E-02	1,97E+00	4,89E-02	5279	3,33E-01
s__Lactobacillus_crispatus	ALCOHOL_CAT	1,03E-01	5,25E-02	1,96E+00	4,99E-02	5279	3,33E-01
s__Tissierellia_bacterium	EDU_CAT1	1,77E-01	9,04E-02	1,96E+00	4,98E-02	4412	3,33E-01
s__Prevotella_amnii	ETHINIC	4,44E-01	2,25E-01	1,98E+00	4,83E-02	5133	3,33E-01
s__Atopobium_vaginae	EXA_CERBLE	2,42E-01	1,23E-01	1,96E+00	4,96E-02	4782	3,33E-01
s__Megasphaera_lornae	SEX_PARTNER_CAT	5,07E-01	2,58E-01	1,97E+00	4,94E-02	5165	3,33E-01
s__Tissierellia_bacterium	SYM_URIOSP	2,18E-01	1,11E-01	1,97E+00	4,89E-02	5300	3,33E-01
g__Shuttleworthia	WAISTLINE	-1,29E-02	6,54E-03	-1,97E+00	4,88E-02	1975	3,33E-01
s__Sneathia_amnii	SYM_PAINBLE	2,99E-01	1,53E-01	1,95E+00	5,08E-02	5305	3,37E-01
s__Allisonella_histaminiformans	ADVERSE_PREGNANCY2	-3,08E-01	1,59E-01	-1,93E+00	5,32E-02	3519	3,38E-01
s__Prevotella_colorans	EDU_CAT1	1,34E-01	6,91E-02	1,94E+00	5,23E-02	4412	3,38E-01
s__Lactobacillus_jensenii	EXA_CERBLE	2,79E-01	1,44E-01	1,93E+00	5,33E-02	4782	3,38E-01
s__Atopobium_vaginae	EXA_ORDOR	2,46E-01	1,27E-01	1,94E+00	5,23E-02	4810	3,38E-01
s__Aerococcus_christensenii	EXA_ORDOR	3,22E-01	1,66E-01	1,95E+00	5,16E-02	4810	3,38E-01
s__Gardnerella_vaginalis	INCOME2	1,82E-01	9,39E-02	1,94E+00	5,27E-02	2656	3,38E-01
s__Megasphaera_lornae	MENSTRUAL_REGULAR	-3,24E-01	1,67E-01	-1,94E+00	5,22E-02	4899	3,38E-01
s__Lactobacillus_gasseri	MENSTRUAL_REGULAR	3,12E-01	1,60E-01	1,94E+00	5,19E-02	4899	3,38E-01
s__Tissierellia_bacterium	SYM_YYD	2,82E-01	1,46E-01	1,94E+00	5,30E-02	5198	3,38E-01
s__Prevotella_timonensis	MENSTRUAL_REGULAR	-3,02E-01	1,57E-01	-1,93E+00	5,38E-02	4899	3,40E-01
s__Allisonella_histaminiformans	EDU_CAT2	4,39E-01	2,28E-01	1,92E+00	5,44E-02	2506	3,41E-01
s__Lactobacillus_jensenii	SYM_ABDPAIN	-1,95E-01	1,02E-01	-1,92E+00	5,45E-02	5321	3,41E-01
s__Allisonella_histaminiformans	EXA_ORDOR	3,32E-01	1,73E-01	1,92E+00	5,53E-02	4810	3,44E-01
s__Prevotella_bivia	SYM_ABDPAIN	-2,28E-01	1,19E-01	-1,91E+00	5,58E-02	5321	3,46E-01
s__Prevotella_amnii	EDU_CAT2	4,92E-01	2,58E-01	1,91E+00	5,67E-02	2506	3,46E-01
g__Shuttleworthia	EDU_CAT2	2,88E-01	1,51E-01	1,91E+00	5,68E-02	2506	3,46E-01
s__Lactobacillus_vaginalis	PARITY2	-3,26E-01	1,71E-01	-1,90E+00	5,69E-02	2832	3,46E-01
s__Mageeibacillus_indolicus	SEX_PARTNER_CAT	4,64E-01	2,43E-01	1,91E+00	5,64E-02	5165	3,46E-01
s__Prevotella_bivia	SYM_PAINBLE	2,73E-01	1,44E-01	1,90E+00	5,72E-02	5305	3,47E-01
s__Megasphaera_hutchinsoni	SYM_URIOSP	2,10E-01	1,10E-01	1,90E+00	5,77E-02	5300	3,48E-01
s__Gardnerella_vaginalis	SYM_BLEDDING	1,97E-01	1,04E-01	1,89E+00	5,84E-02	5298	3,50E-01
s__Veillonella_montpellierensis	AGE	9,12E-03	4,85E-03	1,88E+00	6,01E-02	5437	3,53E-01
s__Lactobacillus_gasseri	EXA_CERBLE	3,35E-01	1,78E-01	1,88E+00	5,99E-02	4782	3,53E-01
s__Lactobacillus_gasseri	GRAVITY2	3,08E-01	1,63E-01	1,88E+00	5,95E-02	3991	3,53E-01
