BioProject	balance_value	group	disease
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	18.7502537581133	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	16.3205616077318	IVF (38)	IVF
PRJNA329174	23.0106536061735	Healthy (96)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	23.0258509299405	IVF (38)	IVF
PRJNA329174	22.861854245986	IVF (38)	IVF
PRJNA329174	-7.46430205434735	IVF (38)	IVF
PRJNA329174	23.022832898899	IVF (38)	IVF
PRJNA329174	23.0258509299405	IVF (38)	IVF
PRJNA329174	18.5341294364599	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	23.0067925085047	Healthy (96)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	16.4757234296523	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	22.9849578899866	IVF (38)	IVF
PRJNA329174	22.9984085746275	Healthy (96)	IVF
PRJNA329174	23.0089757404216	Healthy (96)	IVF
PRJNA329174	20.2763635389741	Healthy (96)	IVF
PRJNA329174	21.9680936658004	Healthy (96)	IVF
PRJNA329174	17.4457781096103	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	22.8589747337417	Healthy (96)	IVF
PRJNA329174	22.9531601285447	Healthy (96)	IVF
PRJNA329174	22.6688100877174	Healthy (96)	IVF
PRJNA329174	22.7093305163734	Healthy (96)	IVF
PRJNA329174	22.5705849313871	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	16.2533707033537	Healthy (96)	IVF
PRJNA329174	21.9680936658004	Healthy (96)	IVF
PRJNA329174	22.7953200977532	Healthy (96)	IVF
PRJNA329174	19.1578041130828	Healthy (96)	IVF
PRJNA329174	17.7878903639333	Healthy (96)	IVF
PRJNA329174	22.9439767820399	Healthy (96)	IVF
PRJNA329174	23.0224921876019	Healthy (96)	IVF
PRJNA329174	22.9303889935534	Healthy (96)	IVF
PRJNA329174	16.9011071551484	Healthy (96)	IVF
PRJNA329174	20.1874606977047	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	-7.37304321636082	Healthy (96)	IVF
PRJNA329174	19.0297030624426	Healthy (96)	IVF
PRJNA329174	22.875922634993	Healthy (96)	IVF
PRJNA329174	20.7305210078276	Healthy (96)	IVF
PRJNA329174	12.5201024537621	Healthy (96)	IVF
PRJNA329174	21.3354092333533	Healthy (96)	IVF
PRJNA329174	13.9006291753698	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	18.6699078000723	Healthy (96)	IVF
PRJNA329174	13.569874913954	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	18.3839228105058	Healthy (96)	IVF
PRJNA329174	17.197018440901	Healthy (96)	IVF
PRJNA329174	22.8855251596716	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	16.1188101918962	Healthy (96)	IVF
PRJNA329174	22.9421205928868	Healthy (96)	IVF
PRJNA329174	22.600786085289	Healthy (96)	IVF
PRJNA329174	22.9870423658846	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	17.3107046966339	Healthy (96)	IVF
PRJNA329174	22.3955764644839	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	18.8631743752245	Healthy (96)	IVF
PRJNA329174	22.9861546900858	Healthy (96)	IVF
PRJNA329174	-7.34834055897624	Healthy (96)	IVF
PRJNA329174	-7.28621912570594	Healthy (96)	IVF
PRJNA329174	20.5311022993367	Healthy (96)	IVF
PRJNA329174	21.4018016703253	Healthy (96)	IVF
PRJNA329174	22.7943844814581	Healthy (96)	IVF
PRJNA329174	22.6127324083481	Healthy (96)	IVF
PRJNA329174	20.2510500893106	Healthy (96)	IVF
PRJNA329174	21.5513740029405	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	23.006209051855	Healthy (96)	IVF
PRJNA329174	22.9818224030124	Healthy (96)	IVF
PRJNA329174	17.0909567343209	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	22.7665943903028	Healthy (96)	IVF
PRJNA329174	22.8589747337417	Healthy (96)	IVF
PRJNA329174	22.875922634993	Healthy (96)	IVF
PRJNA329174	22.9861546900858	Healthy (96)	IVF
PRJNA329174	23.0258509299405	Healthy (96)	IVF
PRJNA329174	23.0239722110912	Healthy (96)	IVF
PRJNA329174	22.9984085746275	Healthy (96)	IVF
PRJNA329174	23.0106536061735	Healthy (96)	IVF
PRJNA329174	23.0239722110912	Healthy (96)	IVF
PRJNA329174	17.4457781096103	Healthy (96)	IVF
PRJNA329174	20.2763635389741	Healthy (96)	IVF
PRJNA329174	22.7093305163734	Healthy (96)	IVF
PRJNA329174	22.9531601285447	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	16.2533707033537	Healthy (96)	IVF
PRJNA329174	19.1578041130828	Healthy (96)	IVF
PRJNA329174	22.9439767820399	Healthy (96)	IVF
PRJNA329174	22.9303889935534	Healthy (96)	IVF
PRJNA329174	23.0258509299405	Healthy (96)	IVF
PRJNA329174	20.1874606977047	Healthy (96)	IVF
PRJNA329174	-7.37304321636082	Healthy (96)	IVF
PRJNA329174	20.7305210078276	Healthy (96)	IVF
PRJNA329174	21.3354092333533	Healthy (96)	IVF
PRJNA329174	0	Healthy (96)	IVF
PRJNA329174	13.569874913954	Healthy (96)	IVF
PRJNA329174	21.8647087460833	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	23.02359952186	IVF (38)	IVF
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	-4.34941891363857	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	-2.49459106604897	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	-2.22787769248493	Preterm (38)	PTB
PRJNA361427	-8.35221693558314	Preterm (38)	PTB
PRJNA361427	3.41318351986212	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0.41861719765715	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	8.60824587339079	Preterm (38)	PTB
PRJNA361427	14.6813902791572	Preterm (38)	PTB
PRJNA361427	-2.09347587415308	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	-4.48222935118378	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	-2.18318253131917	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Preterm (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	12.9338555810071	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	19.2430984260562	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	11.0973167484919	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	7.21642738755436	Control (38)	PTB
PRJNA361427	5.80527060577358	Control (38)	PTB
PRJNA361427	NA	Control (38)	PTB
PRJNA361427	3.7345285251195	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	9.05030358258031	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	-8.57456058948694	Control (38)	PTB
PRJNA361427	-6.5401616278024	Control (38)	PTB
PRJNA361427	-4.23372671930768	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	8.69754363859388	Control (38)	PTB
PRJNA361427	11.511793010982	Control (38)	PTB
PRJNA361427	-6.80385469317553	Control (38)	PTB
PRJNA361427	-8.0281524486182	Control (38)	PTB
PRJNA361427	8.21195430403167	Control (38)	PTB
PRJNA361427	-5.13156512018666	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	19.4527284233136	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	3.55333675063049	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA361427	0	Control (38)	PTB
PRJNA473351	-0.743903842344624	BV+ (38)	BV
PRJNA473351	-3.45880297978775	BV- (49)	BV
PRJNA473351	-2.48666907087082	BV+ (38)	BV
PRJNA473351	-1.64470363785289	NA	BV
PRJNA473351	-5.84455410158373	BV+ (38)	BV
PRJNA473351	-3.73359835552137	BV+ (38)	BV
PRJNA473351	2.36887601765435	BV- (49)	BV
PRJNA473351	0.931607648483416	BV- (49)	BV
PRJNA473351	-5.56412179683528	BV- (49)	BV
PRJNA473351	7.8575595429918	BV- (49)	BV
PRJNA473351	1.29856651082487	BV+ (38)	BV
PRJNA473351	-7.80271377967459	BV+ (38)	BV
PRJNA473351	-2.09052656444134	BV+ (38)	BV
PRJNA473351	2.58256149439966	BV- (49)	BV
PRJNA473351	-3.2686603917285	BV+ (38)	BV
PRJNA473351	1.43834827475876	BV- (49)	BV
PRJNA473351	0	BV- (49)	BV
PRJNA473351	-2.90850193968883	BV+ (38)	BV
PRJNA473351	20.3650373041046	BV- (49)	BV
PRJNA473351	-3.92150517582906	BV+ (38)	BV
PRJNA473351	-8.47476270465513	BV- (49)	BV
PRJNA473351	2.74462836567055	BV+ (38)	BV
PRJNA473351	-9.77980673193746	BV- (49)	BV
PRJNA473351	8.85770613300103	BV- (49)	BV
PRJNA473351	3.35400588600429	BV- (49)	BV
PRJNA473351	-4.60078350058235	BV+ (38)	BV
PRJNA473351	4.03195659098495	BV+ (38)	BV
PRJNA473351	10.3341815937126	BV- (49)	BV
PRJNA473351	-9.86431207926147	BV- (49)	BV
PRJNA473351	20.0118819041179	BV- (49)	BV
PRJNA473351	10.2047029724033	BV- (49)	BV
PRJNA473351	-3.75313621878876	BV- (49)	BV
PRJNA473351	-11.4383634407935	BV+ (38)	BV
PRJNA473351	-8.13783195387243	BV- (49)	BV
PRJNA473351	1.47528829185518	BV- (49)	BV
PRJNA473351	-4.23828979187595	BV+ (38)	BV
PRJNA473351	-2.40595836382478	BV+ (38)	BV
PRJNA473351	9.38760907665523	BV- (49)	BV
PRJNA473351	11.384239752646	BV- (49)	BV
PRJNA473351	8.28189098627668	BV+ (38)	BV
PRJNA473351	-4.23499155072552	BV+ (38)	BV
PRJNA473351	11.498655281391	BV- (49)	BV
PRJNA473351	-2.00242641545128	BV+ (38)	BV
PRJNA473351	-3.19939100321393	BV+ (38)	BV
PRJNA473351	8.51356773195699	BV- (49)	BV
PRJNA473351	-3.226534921796	BV+ (38)	BV
PRJNA473351	-3.38141013557774	BV+ (38)	BV
PRJNA473351	-4.87872999330762	BV- (49)	BV
PRJNA473351	5.64780343688822	BV- (49)	BV
PRJNA473351	0	BV+ (38)	BV
PRJNA473351	-15.0712389013118	BV- (49)	BV
PRJNA473351	-8.46416669993636	BV+ (38)	BV
PRJNA473351	6.49106173251556	BV- (49)	BV
PRJNA473351	6.46410298831137	BV- (49)	BV
PRJNA473351	10.0848459169747	BV- (49)	BV
PRJNA473351	1.63757505893457	BV- (49)	BV
PRJNA473351	-7.3907707623673	BV+ (38)	BV
PRJNA473351	10.4328194889577	BV- (49)	BV
PRJNA473351	-12.0388736564932	BV- (49)	BV
PRJNA473351	-13.4035079989886	BV+ (38)	BV
PRJNA473351	-5.33581385856137	BV- (49)	BV
PRJNA473351	16.2701728053058	BV- (49)	BV
PRJNA473351	-14.0736490110562	BV+ (38)	BV
PRJNA473351	-9.89536059092175	BV+ (38)	BV
PRJNA473351	11.4186930700789	NA	BV
PRJNA473351	11.496562118219	BV- (49)	BV
PRJNA473351	10.1334338727728	BV- (49)	BV
PRJNA473351	-5.38068712529201	BV- (49)	BV
PRJNA473351	11.3999135642453	BV- (49)	BV
PRJNA473351	-3.52673388222651	BV+ (38)	BV
PRJNA473351	-3.83458513262603	BV+ (38)	BV
PRJNA473351	0	BV- (49)	BV
PRJNA473351	1.09312598727241	BV+ (38)	BV
PRJNA473351	-0.842225432730542	BV- (49)	BV
PRJNA473351	-15.3234509035009	BV+ (38)	BV
PRJNA473351	0	NA	BV
PRJNA473351	11.5129254649702	NA	BV
PRJNA473351	-1.92232144823775	BV+ (38)	BV
PRJNA473351	-12.7436883349228	BV+ (38)	BV
PRJNA473351	20.9759195419545	BV- (49)	BV
PRJNA473351	0	NA	BV
PRJNA473351	0	NA	BV
PRJNA473351	-1.28778672157305	NA	BV
PRJNA473351	0	NA	BV
PRJNA473351	0	NA	BV
PRJNA473351	8.37103780812786	BV- (49)	BV
PRJNA473351	3.38896076465134	BV- (49)	BV
PRJNA473351	10.0871368270528	BV- (49)	BV
PRJNA473351	-9.73452220674259	BV- (49)	BV
PRJNA473351	-4.50131968242901	BV+ (38)	BV
PRJNA473351	6.84243596778803	BV- (49)	BV
PRJNA473351	-3.68788806688077	BV+ (38)	BV
PRJNA473351	-3.59394180827553	BV+ (38)	BV
PRJNA473351	-13.7136905521897	BV+ (38)	BV
PRJNA473351	-4.55005952891614	BV- (49)	BV
PRJNA473351	-2.33776144866509	BV- (49)	BV
PRJNA473351	-0.743903842344624	HPV- (53)	HPV
PRJNA473351	-3.45880297978775	HPV- (53)	HPV
PRJNA473351	-2.48666907087082	HPV+ (38)	HPV
PRJNA473351	-1.64470363785289	HPV- (53)	HPV
PRJNA473351	-5.84455410158373	HPV- (53)	HPV
PRJNA473351	-3.73359835552137	HPV+ (38)	HPV
PRJNA473351	2.36887601765435	HPV- (53)	HPV
PRJNA473351	0.931607648483416	HPV- (53)	HPV
PRJNA473351	-5.56412179683528	HPV+ (38)	HPV
PRJNA473351	7.8575595429918	HPV+ (38)	HPV
PRJNA473351	1.29856651082487	HPV- (53)	HPV
PRJNA473351	-7.80271377967459	HPV- (53)	HPV
PRJNA473351	-2.09052656444134	HPV+ (38)	HPV
PRJNA473351	2.58256149439966	HPV+ (38)	HPV
PRJNA473351	-3.2686603917285	HPV- (53)	HPV
PRJNA473351	1.43834827475876	HPV- (53)	HPV
PRJNA473351	0	HPV- (53)	HPV
PRJNA473351	-2.90850193968883	HPV- (53)	HPV
PRJNA473351	20.3650373041046	HPV- (53)	HPV
PRJNA473351	-3.92150517582906	HPV- (53)	HPV
PRJNA473351	-8.47476270465513	HPV- (53)	HPV
PRJNA473351	2.74462836567055	HPV- (53)	HPV
PRJNA473351	-9.77980673193746	HPV+ (38)	HPV
PRJNA473351	8.85770613300103	HPV+ (38)	HPV
PRJNA473351	3.35400588600429	HPV+ (38)	HPV
PRJNA473351	-4.60078350058235	HPV- (53)	HPV
PRJNA473351	4.03195659098495	HPV- (53)	HPV
PRJNA473351	10.3341815937126	HPV- (53)	HPV
PRJNA473351	-9.86431207926147	HPV+ (38)	HPV
PRJNA473351	20.0118819041179	HPV+ (38)	HPV
PRJNA473351	10.2047029724033	HPV- (53)	HPV
PRJNA473351	-3.75313621878876	HPV+ (38)	HPV
PRJNA473351	-11.4383634407935	HPV+ (38)	HPV
PRJNA473351	-8.13783195387243	HPV- (53)	HPV
PRJNA473351	1.47528829185518	HPV- (53)	HPV
PRJNA473351	-4.23828979187595	HPV- (53)	HPV
PRJNA473351	-2.40595836382478	HPV+ (38)	HPV
PRJNA473351	9.38760907665523	HPV- (53)	HPV
PRJNA473351	11.384239752646	HPV+ (38)	HPV
PRJNA473351	8.28189098627668	HPV- (53)	HPV
PRJNA473351	-4.23499155072552	HPV- (53)	HPV
PRJNA473351	11.498655281391	HPV+ (38)	HPV
PRJNA473351	-2.00242641545128	HPV- (53)	HPV
PRJNA473351	-3.19939100321393	HPV+ (38)	HPV
PRJNA473351	8.51356773195699	HPV- (53)	HPV
PRJNA473351	-3.226534921796	HPV- (53)	HPV
PRJNA473351	-3.38141013557774	HPV- (53)	HPV
PRJNA473351	-4.87872999330762	HPV- (53)	HPV
PRJNA473351	5.64780343688822	HPV- (53)	HPV
PRJNA473351	0	HPV- (53)	HPV
PRJNA473351	-15.0712389013118	HPV- (53)	HPV
PRJNA473351	-8.46416669993636	HPV+ (38)	HPV
PRJNA473351	6.49106173251556	HPV+ (38)	HPV
PRJNA473351	6.46410298831137	HPV- (53)	HPV
PRJNA473351	10.0848459169747	HPV- (53)	HPV
PRJNA473351	1.63757505893457	HPV+ (38)	HPV
PRJNA473351	-7.3907707623673	HPV- (53)	HPV
PRJNA473351	10.4328194889577	HPV- (53)	HPV
PRJNA473351	-12.0388736564932	HPV+ (38)	HPV
PRJNA473351	-13.4035079989886	HPV+ (38)	HPV
PRJNA473351	-5.33581385856137	HPV+ (38)	HPV
PRJNA473351	16.2701728053058	HPV- (53)	HPV
PRJNA473351	-14.0736490110562	HPV+ (38)	HPV
PRJNA473351	-9.89536059092175	HPV- (53)	HPV
PRJNA473351	11.4186930700789	HPV- (53)	HPV
PRJNA473351	11.496562118219	HPV- (53)	HPV
PRJNA473351	10.1334338727728	HPV- (53)	HPV
PRJNA473351	-5.38068712529201	HPV- (53)	HPV
PRJNA473351	11.3999135642453	HPV- (53)	HPV
PRJNA473351	-3.52673388222651	HPV+ (38)	HPV
PRJNA473351	-3.83458513262603	HPV- (53)	HPV
PRJNA473351	0	HPV- (53)	HPV
PRJNA473351	1.09312598727241	HPV+ (38)	HPV
PRJNA473351	-0.842225432730542	HPV+ (38)	HPV
PRJNA473351	-15.3234509035009	HPV+ (38)	HPV
PRJNA473351	0	HPV- (53)	HPV
PRJNA473351	11.5129254649702	HPV+ (38)	HPV
PRJNA473351	-1.92232144823775	HPV- (53)	HPV
PRJNA473351	-12.7436883349228	HPV- (53)	HPV
PRJNA473351	20.9759195419545	HPV- (53)	HPV
PRJNA473351	0	NA	HPV
PRJNA473351	0	NA	HPV
PRJNA473351	-1.28778672157305	NA	HPV
PRJNA473351	0	NA	HPV
PRJNA473351	0	NA	HPV
PRJNA473351	8.37103780812786	HPV- (53)	HPV
PRJNA473351	3.38896076465134	HPV+ (38)	HPV
PRJNA473351	10.0871368270528	HPV- (53)	HPV
PRJNA473351	-9.73452220674259	HPV+ (38)	HPV
PRJNA473351	-4.50131968242901	HPV+ (38)	HPV
PRJNA473351	6.84243596778803	HPV+ (38)	HPV
PRJNA473351	-3.68788806688077	HPV+ (38)	HPV
PRJNA473351	-3.59394180827553	HPV+ (38)	HPV
PRJNA473351	-13.7136905521897	HPV+ (38)	HPV
PRJNA473351	-4.55005952891614	HPV+ (38)	HPV
PRJNA473351	-2.33776144866509	HPV+ (38)	HPV
PRJNA518153	11.5122338724043	Abnormal (48)	TCT
PRJNA518153	20.5713975538666	Abnormal (48)	TCT
PRJNA518153	14.7890720649728	Abnormal (48)	TCT
PRJNA518153	4.03142630637159	Abnormal (48)	TCT
PRJNA518153	8.64848664556544	Normal (29)	TCT
PRJNA518153	14.3978416137991	Normal (29)	TCT
PRJNA518153	9.19251348085586	Normal (29)	TCT
PRJNA518153	-0.825291074430986	Normal (29)	TCT
PRJNA518153	16.4002638185286	Normal (29)	TCT
PRJNA518153	-0.185387617899043	Normal (29)	TCT
PRJNA518153	0.0088185019021374	Normal (29)	TCT
PRJNA518153	-3.09015906495402	Normal (29)	TCT
PRJNA518153	20.4809670813691	Normal (29)	TCT
PRJNA518153	15.5245981940657	Normal (29)	TCT
PRJNA518153	-5.33170986444488	Abnormal (48)	TCT
PRJNA518153	7.68521626289912	Abnormal (48)	TCT
PRJNA518153	-2.72696703424556	Abnormal (48)	TCT
PRJNA518153	-4.15739048403292	Abnormal (48)	TCT
PRJNA518153	10.3405874377434	Abnormal (48)	TCT
PRJNA518153	13.3417668230536	Abnormal (48)	TCT
PRJNA518153	5.3400629144993	Abnormal (48)	TCT
PRJNA518153	-6.96737893700796	Abnormal (48)	TCT
PRJNA518153	5.12411288340723	Abnormal (48)	TCT
PRJNA518153	14.5073477464836	Abnormal (48)	TCT
PRJNA518153	-3.90945628094183	Abnormal (48)	TCT
PRJNA518153	3.0591751585682	Abnormal (48)	TCT
PRJNA518153	3.45980453813726	Abnormal (48)	TCT
PRJNA518153	10.0374444907319	Abnormal (48)	TCT
PRJNA518153	10.3253251374925	Normal (29)	TCT
PRJNA518153	7.90074290720746	Abnormal (48)	TCT
PRJNA518153	7.99530559638531	Normal (29)	TCT
PRJNA518153	6.28876275392288	Abnormal (48)	TCT
PRJNA518153	19.1548996075065	Abnormal (48)	TCT
PRJNA518153	1.62453007072142	Abnormal (48)	TCT
PRJNA518153	19.8018768458918	Abnormal (48)	TCT
PRJNA518153	-4.62036768152725	Abnormal (48)	TCT
PRJNA518153	6.1807701155797	Normal (29)	TCT
PRJNA518153	14.5241118861755	Normal (29)	TCT
PRJNA518153	-4.59318597562632	Normal (29)	TCT
PRJNA518153	-4.94684921370691	Normal (29)	TCT
PRJNA518153	8.20213177009594	Abnormal (48)	TCT
PRJNA518153	11.511287289474	Normal (29)	TCT
PRJNA518153	-6.93899538422462	Abnormal (48)	TCT
PRJNA518153	-1.57116188213488	Normal (29)	TCT
PRJNA518153	15.7644905672839	Abnormal (48)	TCT
PRJNA518153	8.24132614089974	Normal (29)	TCT
PRJNA518153	6.48010339393323	Normal (29)	TCT
PRJNA518153	0.0708763012328575	Normal (29)	TCT
PRJNA518153	6.14100141221829	Normal (29)	TCT
PRJNA518153	11.8466390526074	Normal (29)	TCT
PRJNA518153	7.94956609375995	Normal (29)	TCT
PRJNA518153	9.39917250679721	Normal (29)	TCT
PRJNA518153	-4.50686257235956	Normal (29)	TCT
PRJNA518153	14.2495865185364	Normal (29)	TCT
PRJNA518153	-3.68995309492319	Abnormal (48)	TCT
PRJNA518153	-9.46769707740613	Abnormal (48)	TCT
PRJNA518153	-6.35144233337979	Abnormal (48)	TCT
PRJNA518153	13.7571126958016	Abnormal (48)	TCT
PRJNA518153	0.229883222199934	Normal (29)	TCT
PRJNA518153	21.9711174603197	Abnormal (48)	TCT
PRJNA518153	14.2003659384639	Abnormal (48)	TCT
PRJNA518153	-5.18908191977607	Abnormal (48)	TCT
PRJNA518153	-4.70135506808004	Abnormal (48)	TCT
PRJNA518153	-5.92723554673528	Abnormal (48)	TCT
PRJNA518153	-2.7412797893787	Abnormal (48)	TCT
PRJNA518153	9.24327816729331	Abnormal (48)	TCT
PRJNA518153	2.93887956447258	Abnormal (48)	TCT
PRJNA518153	17.2875112263019	Abnormal (48)	TCT
PRJNA518153	-3.83044008390606	Abnormal (48)	TCT
PRJNA518153	-4.49933891245929	Abnormal (48)	TCT
PRJNA518153	11.5076750757338	Abnormal (48)	TCT
PRJNA518153	2.98208122452519	Abnormal (48)	TCT
PRJNA518153	9.64013234001675	Abnormal (48)	TCT
PRJNA518153	15.4616139669659	Normal (29)	TCT
PRJNA518153	22.0860422363888	Abnormal (48)	TCT
PRJNA518153	-2.95119167478476	Abnormal (48)	TCT
PRJNA518153	-8.96697486622237	Abnormal (48)	TCT
